title,host_is_superhost,neighbourhood,city,state,zipcode,latitude,longitude,property_type,price,has_availability,number_of_reviews
House in the heart of West Seattle,f,North Admiral,Seattle,WA,98126,47.57805853853870,-122.382461307405,House,225.00,t,10
7 Leaf THC Master Suite,t,North Admiral,Seattle,WA,98116,47.572261416804200,-122.38789854449100,Bed & Breakfast,299.00,t,0
BALLARD  CHARM - Contemporary Suite,f,Crown Hill,Seattle,WA,98117,47.69736004130410,-122.37622221181900,Bed & Breakfast,70.00,t,117
"Cozy, large room in private condo.",f,,Seattle,WA,98117,47.698553972501400,-122.36927100668900,Townhouse,28.00,t,3
"""THE 5-STAR HOUSE""",f,Crown Hill,Seattle,WA,98117,47.69989837304280,-122.366141804709,Bed & Breakfast,65.00,t,22
Guest Room -Cute North Seattle Home,t,Crown Hill,Seattle,WA,98117,47.700060505541000,-122.37437155909000,House,69.00,t,17
Long Term or Homestay: Private Bath,f,Crown Hill,Seattle,WA,98117,47.69179388225020,-122.36896058399500,House,41.00,t,3
Sweet Family Friendly Neighborhood,f,Crown Hill,Seattle,WA,98117,47.69314351821860,-122.36807893362300,House,42.00,t,22
Delightful Spacious Apartment,f,Crown Hill,Seattle,WA,98117,47.69335528918060,-122.37317566903100,House,100.00,t,80
Crown Hill/Ballard Room for Rent,f,Crown Hill,Seattle,WA,98117,47.69920590223320,-122.37317216621600,House,100.00,t,0
Sunny Room in Quiet Neighborhood,t,Crown Hill,Seattle,WA,98177,47.70348161633170,-122.36984208789700,House,45.00,t,8
"""THE 5-STAR HOUSE""",f,Crown Hill,Seattle,WA,98117,47.701551291074100,-122.36651127608100,House,65.00,t,37
"Fun apartment in Ballard, Seattle",f,Ballard,Seattle,WA,98117,47.691027961687000,-122.3681546525900,Apartment,170.00,t,42
"Seattle Urban Oasis, Crown Hill",f,Crown Hill,Seattle,WA,98177,47.7051408314449,-122.37121339006200,House,119.00,t,2
Little Dream Cottage,f,Crown Hill,Seattle,WA,98117,47.692910532225600,-122.37849462852000,House,100.00,t,0
Seattle North Beach B R Guest Suite,t,Crown Hill,Seattle,WA,98117,47.69757112015090,-122.37587543713700,House,114.00,t,133
Family Friendly Holiday Haven,f,Crown Hill,Seattle,WA,98117,47.693445755499300,-122.36680320922700,House,100.00,t,0
Private Entry Modern Suite,t,Crown Hill,Seattle,WA,98117,47.700363283542800,-122.37090648999900,House,68.00,t,33
Three  bedroom home in Ballard,f,Ballard,Seattle,WA,98117,47.6909559036202,-122.36971981467900,Apartment,275.00,t,29
"Cozy 1 BR, Private Bath, Comfy Bed",f,Crown Hill,Seattle,WA,98117,47.69397589696930,-122.37165377836100,House,35.00,t,26
"Private, Cozy Room & Bath-Seattle",f,Crown Hill,Seattle,WA,98117,47.69306524149760,-122.36735081193400,House,75.00,t,7
Cute North Seattle Home,t,Crown Hill,Seattle,WA,98117,47.69996238748540,-122.37551070498300,House,95.00,t,2
"""THE 5-STAR  HOUSE""",f,Crown Hill,Seattle,WA,98117,47.702954396433000,-122.36861150221300,Bed & Breakfast,65.00,t,74
The Coolest Tangerine Dream MIL! ,t,The Junction,Seattle,WA,98136,47.556700653644600,-122.38497350615100,House,125.00,t,14
Suite Dreams,f,The Junction,Seattle,WA,98116,47.558044419701000,-122.38578798910800,House,75.00,t,10
Private Room & Bath: Clean & Comfy,t,The Junction,Seattle,WA,98126,47.55226284905910,-122.38101462576100,House,72.00,t,30
The Adorable Sweet Orange Craftsman,t,The Junction,Seattle,WA,98136,47.555389255794200,-122.38473862707000,House,165.00,t,26
City Traveler's Townhome - WSeattle,f,,Seattle,WA,98126,47.554482852206000,-122.37880454304000,House,125.00,t,17
"West Seattle, The Starlight Studio",f,The Junction,Seattle,WA,98136,47.55538173399460,-122.38622263103200,Apartment,95.00,t,21
Spectacular View Apartment,t,The Junction,Seattle,WA,98126,47.553090037990700,-122.37871495491000,Apartment,125.00,t,10
West Seattle Suite Shagalicious,f,The Junction,Seattle,WA,98126,47.54755688747740,-122.37833050628400,House,120.00,t,1
West Seattle private entrance/suite,f,Genesee,Seattle,WA,98126,47.562976062287200,-122.37854466075300,House,75.00,t,3
Heart of West Seattle,f,The Junction,Seattle,WA,98136,47.5555199781724,-122.38548187471400,House,299.00,t,0
Townhouse in West Seattle,f,The Junction,Seattle,WA,98136,47.54899529710670,-122.38345205120800,Townhouse,200.00,t,34
Northern Lights Cottage,f,The Junction,Seattle,WA,98136,47.55596903548990,-122.38397082938200,House,125.00,t,5
3+ BR craftsman family home in WS,f,The Junction,Seattle,WA,98136,47.55176783750250,-122.38584203314800,House,250.00,t,0
Cottage in West Seattle ~ Guest BR,f,The Junction,Seattle,WA,98126,47.55663242156000,-122.37720365411700,House,75.00,t,5
Best value near downtown Seattle!,f,,Seattle,WA,98126,47.54727136022500,-122.37871894653200,House,119.00,t,13
Hummingbird House+Firelight Studio,f,Fairmount Park,Seattle,WA,98126,47.550024089975600,-122.38123146640700,House,370.00,t,1
Cottage in West Seattle 117/night,f,The Junction,Seattle,WA,98126,47.55594365831240,-122.37994744796200,House,117.00,t,54
Storybook BnB - Private Studio,f,The Junction,Seattle,WA,98126,47.5533567629696,-122.37900130748800,House,85.00,t,6
Cozy Cottage Style,f,The Junction,Seattle,WA,98126,47.55219361700840,-122.37795390300500,House,200.00,t,1
West Seattle Skyline Oasis Townhome,t,,Seattle,WA,98126,47.564327670559900,-122.37374580916700,House,129.00,t,19
nestled behind a park,f,The Junction,Seattle,WA,98126,47.55890375346900,-122.37751113324900,House,70.00,t,4
"Cozy Bedroom, Deck, Free Parking",f,The Junction,Seattle,WA,98126,47.55731794800920,-122.37778223044500,House,65.00,t,12
Adorable New Artist Apartment ,t,The Junction,Seattle,WA,98126,47.54778740966760,-122.3780016001750,Apartment,110.00,t,22
West Seattle Retreat,f,The Junction,Seattle,WA,98136,47.5483168146443,-122.38645840880100,House,109.00,t,4
The Two Towers Guesthouse,t,The Junction,Seattle,WA,98126,47.55629075946560,-122.37700213556900,Apartment,88.00,t,30
Cottage in West Seattle ~ Main BR,f,The Junction,Seattle,WA,98126,47.55766966557910,-122.37900981486700,House,75.00,t,2
"Clean, cozy room in sunny home",f,The Junction,Seattle,WA,98126,47.55556516043840,-122.37703992867600,House,65.00,t,2
Cozy 'n Convenient Man Cave,f,The Junction,Seattle,WA,98118,47.555540645966800,-122.3827543817820,Apartment,75.00,t,10
Heart of W Seattle w/ Skyline View!,t,The Junction,Seattle,WA,98116,47.559255846898100,-122.3845557579070,Apartment,136.00,t,12
Modern West Seattle Cottage,f,Genesee,Seattle,WA,98126,47.56639268224650,-122.37814624863500,House,139.00,t,17
West Seattle Alaska Junction,f,The Junction,Seattle,WA,98116,47.56073594747430,-122.38249363713300,Townhouse,79.00,t,27
Master Suite Contemporary New House,f,,Seattle,WA,98116,47.56744376541990,-122.38634160987900,House,95.00,t,2
Nice room in great location!,f,,Seattle,WA,98116,47.560989670468100,-122.38493210180700,Apartment,55.00,t,18
1920s Bungalo with a 150mile view!,f,Genesee,Seattle,WA,98126,47.567816258630800,-122.37616240582600,House,200.00,t,0
3. Walk score 94 - Downtown in mins,f,Genesee,Seattle,WA,98116,47.564839837172000,-122.38858247665700,House,49.00,t,5
1. Master Suite - Walk Score 94!,f,,Seattle ,WA,98116,47.56355309216990,-122.38678880614500,House,65.00,t,13
West Seattle - Close to everything,f,Genesee,Seattle,WA,98116,47.56953843090030,-122.39283204947600,House,85.00,t,16
"Cozy single bedrm, quiet W.SEA home",f,Genesee,Seattle,WA,98116,47.562605333620000,-122.3967024657220,House,39.00,t,20
West Seattle - Alaska Junction area,f,Genesee,Seattle,WA,98116,47.566894557880500,-122.39213487299100,Apartment,75.00,t,5
Cozy Alaska Junction Remodel,f,Genesee,Seattle,WA,98116,47.560476141625900,-122.39364127092200,House,75.00,t,4
picture perfect craftsman bungalow,f,,Seattle,WA,98126,47.56371212435630,-122.38132714210100,House,125.00,t,0
Contemporary New Townhome/House,f,Genesee,Seattle,WA,98116,47.56724120602180,-122.38638673198300,House,215.00,t,2
Charming West Seattle apartment ,f,Genesee,Seattle,WA,98126,47.5641246529799,-122.37850726206100,Apartment,99.00,t,26
West Seattle Vacation Junction,t,Genesee,Seattle,WA,98116,47.56642870956140,-122.38084221302300,Apartment,165.00,t,20
West Seattle Mid-Century Modern,f,Genesee,Seattle,WA,98116,47.56272303972220,-122.39523837188900,House,165.00,t,4
Basement level unit- West Seattle,f,Genesee,Seattle,WA,98126,47.56570398024410,-122.37511036063200,House,55.00,t,0
Modern home in West Seattle!,f,Genesee,Seattle,WA,98116,47.56523792594470,-122.38723512854500,Townhouse,150.00,t,5
Spacious West Seattle Cottage,f,Genesee,Seattle,WA,98126,47.56460284610450,-122.37704664438000,House,249.00,t,2
Your own floor  & Mt. Rainier view,f,Genesee,Seattle,WA,98116,47.56759464511130,-122.38137651498800,House,51.00,t,5
Vibrant Two-Bedroom Apartment,f,Genesee,Seattle,WA,98126,47.566184539497000,-122.37900764770900,House,129.00,t,14
Quiet & Cozy in West Seattle,f,Genesee,Seattle,WA,98116,47.57000135878520,-122.38590533598000,Townhouse,79.00,t,3
2. Walk score 94 - Downtown in mins,f,The Junction,Seattle,WA,98116,47.561364311611400,-122.38510704784800,House,65.00,t,20
Room @ Cozy Alaska Junction Remodel,f,Genesee,Seattle,WA,98116,47.560370101232400,-122.3930383048000,House,49.00,t,1
Beautiful 1911 Craftsman with views,f,Genesee,Seattle,WA,98116,47.56725798913210,-122.38221291496000,House,180.00,t,3
"West Seattle, like Seattle but West",f,Genesee,Seattle,WA,98116,47.56137397094920,-122.38843823729500,Apartment,30.00,t,4
*Beautiful Views West Seattle Home*,f,Genesee,Seattle,WA,98116,47.56164625029350,-122.39707259929400,House,250.00,t,1
Sweet Urban West Seattle Bungalow,t,Genesee,Seattle,WA,98116,47.56696290438780,-122.38337757721400,House,150.00,t,21
Spacious 4 Bed West Seattle House,f,Genesee,Seattle,WA,98116,47.56494994491950,-122.39797690201200,House,375.00,t,0
"Double room, Contemporary New house",f,Genesee,Seattle,WA,98116,47.567048161349000,-122.38615064740700,House,56.00,t,18
Flawless City and Mountains Views,f,Genesee,Seattle,WA,98126,47.56830072616980,-122.37603001319700,House,300.00,t,6
"Single Room, Contemporary New House",f,Genesee,Seattle,WA,98116,47.56722692276700,-122.38508567294900,House,45.00,t,25
Dog-friendly 2BR townhome w/ patio!,t,Genesee,Seattle,WA,98116,47.56401857889340,-122.38885558598400,House,110.00,t,9
West Seattle Home near Junction,f,Genesee,Seattle,WA,98116,47.56280117776830,-122.3870543160040,House,99.00,t,8
Rooftop Room with a View !,t,Queen Anne,Seattle,WA,98119,47.63972335767090,-122.37642207763700,House,53.00,t,26
Magnolia Living with a View!,f,,Seattle,WA,98199,47.6357729368541,-122.38861928749300,Apartment,75.00,t,9
Magnolia Midcentury Private Den,f,Interbay,Seattle,WA,98199,47.63707970919290,-122.38617913336900,House,75.00,t,30
Private room in Magnolia,f,Magnolia,Seattle,WA,98199,47.635023277993400,-122.3896954585670,House,90.00,t,15
Seattle Modern Loft,f,Interbay,Seattle,WA,98119,47.632885205202600,-122.3771697402240,Loft,69.00,t,3
Great location,f,,Seattle,WA,98119,47.647382535934800,-122.37804928184500,Apartment,250.00,t,0
The Studio at Mibbett Hollow - Boat,f,Interbay,Seattle,WA,,47.66118596650390,-122.38534417643900,Boat,95.00,t,5
10 Minutes from Downtown Seattle,f,Interbay,Seattle,WA,98119,47.650062319491500,-122.37738430765100,Apartment,50.00,t,1
Modern Oasis in Magnolia,t,Magnolia,Seattle,WA,98199,47.63920028322550,-122.38661556538400,Apartment,150.00,t,12
Charming modern 2 bdm getaway,f,Interbay,Seattle,WA,98119,47.642361949809000,-122.3775093333710,House,150.00,t,22
Chic One Bedroom Condo in Magnolia!,f,Interbay,Seattle,WA,98199,47.63834272728790,-122.3861921219980,Condominium,150.00,t,0
Studio Apartment Pioneer Square 201,f,International District,Seattle,WA,98104,47.59577199931980,-122.32731604506900,Apartment,150.00,t,75
"Between downtown & SeaTac, Bohemian",f,,Seattle,WA,98108,47.5597785590347,-122.32360314028200,Loft,25.00,t,0
Classic VW Camper Van Rental,f,Industrial District,Seattle,WA,98134,47.58000693200780,-122.32662822547300,Camper/RV,265.00,t,0
"Amazing Modern Loft, Great View",f,Industrial District,Seattle,WA,98134,47.5775896437578,-122.31956561639600,Loft,320.00,t,2
Suite at the Little Red Day Spa,f,Industrial District,Seattle,WA,98134,47.57668747621030,-122.32192824617000,Other,150.00,t,49
Seattle Studio-Private Kitchen&Bath,t,North Beacon Hill,Seattle,WA,98108,47.55427231052300,-122.3126486673480,Townhouse,65.00,t,33
"Charming Sunset Room, Queen Bed",t,Holly Park,Seattle,WA,98118,47.54296367283010,-122.28904717527000,House,45.00,t,28
"Master suite, 2 queen size beds 可中文",f,,Seattle,WA,98108,47.544827782277300,-122.29962707733800,House,80.00,t,20
Beacon hill clean bedroom(可讲中文),f,,Seattle,WA,98108,47.54443757841160,-122.30120029635000,House,50.00,t,36
Home Away From Home - MIL Suite    ,f,North Beacon Hill,Seattle,WA,98108,47.56034897677930,-122.31402319056400,House,89.00,t,26
Room C  Warm & Quite Single Bedroom,f,,Seattle,WA,98108,47.56082164187590,-122.29563724620600,House,35.00,t,49
Room A  Easiest Commute in town,f,North Beacon Hill,Seattle,WA,98108,47.560769417400500,-122.29431480137000,House,55.00,t,93
Room D Quite Single Bed Room,f,,Seattle,WA,98108,47.56108748731170,-122.2961610967120,House,35.00,t,44
Cozy Room w/ Easy Ride to Downtown.,f,North Beacon Hill,Seattle,WA,98108,47.5520095188362,-122.30586891883400,House,35.00,t,34
"Private, Spacious, Studio",f,North Beacon Hill,Seattle,WA,98108,47.557275103000800,-122.31334530306100,House,58.00,t,37
Beacon Hill home fit for a family,f,North Beacon Hill,Seattle,WA,98108,47.55421556294130,-122.3086033571000,House,170.00,t,5
Private stand alone garden cottage,f,North Beacon Hill,Seattle,WA,98108,47.55708216428580,-122.30920296667800,Cabin,85.00,t,18
Beacon hill small bedroom (中文),f,,西雅图,WA,98108,47.54454406675030,-122.30138707021100,House,38.00,t,27
Georgetown Townhouse,f,North Beacon Hill,Seattle,WA,98108,47.55368054651330,-122.31780503212200,House,104.00,t,19
Seattle Sleepy on North Beacon Hill,f,North Beacon Hill,Seattle,WA,98108,47.55560303856330,-122.30085453799300,House,150.00,t,59
Room B  Lovely Queen Size Bedroom,f,,Seattle,WA,98108,47.559201115257400,-122.29447913891700,House,55.00,t,41
Modern Home in Beacon Hill,f,,Seattle,WA,98108,47.55551619742350,-122.30332317085900,House,130.00,t,4
Single bedroom (queen size bed) 可中文,f,,Seattle,WA,98108,47.542991403361000,-122.29964812031200,House,38.00,t,9
Beacon Hill Cottage in the City,t,North Beacon Hill,Seattle,WA,98108,47.552566318752000,-122.30434964427200,Cabin,122.00,t,35
Beacon Hill bedroom plus courtyard,f,North Beacon Hill,Seattle,WA,98108,47.54382833779020,-122.30276478403100,House,55.00,t,4
"Cozy Georgetown spot, sleeps 6!",t,North Beacon Hill,Seattle,WA,98108,47.554018197636000,-122.31755339608000,Apartment,109.00,t,29
Seattle House - Location & Privacy,f,North Beacon Hill,Seattle,WA,98108,47.56137576148690,-122.31741051258600,House,199.00,t,21
Unique Seattle Log Cabin Home,f,North Beacon Hill,Seattle,WA,98108,47.5658340579664,-122.31492338890800,Cabin,100.00,t,16
Cute Home w/ Easy Ride to Downtown,f,North Beacon Hill,Seattle,WA,98108,47.552194730655900,-122.30517740831000,House,45.00,t,82
Private Master Suite/Own Entrance,f,North Beacon Hill,Seattle,WA,98108,47.549869376584900,-122.29254923455900,House,80.00,t,2
Room in Beacon Hill Home,f,North Beacon Hill,Seattle,WA,98108,47.55530659044020,-122.30328126449400,House,80.00,t,0
SEATTLE LOFT STUDIO,f,North Beacon Hill,Seattle,WA,98108,47.54762602613060,-122.30413371806500,Loft,99.00,t,18
Clean and bright suite bedroom(可中文),f,,Seattle,WA,98108,47.54498546288630,-122.30089926184700,House,58.00,t,0
Private Beacon Hill Studio w/Bath,t,North Beacon Hill,Seattle,WA,98108,47.54712359387440,-122.30139463979200,House,69.00,t,15
Georgetown lovely vintage sunny,f,,Seattle,WA,98108,47.54945611145160,-122.31657741596300,Other,65.00,t,77
Cozy room with Private downstairs,f,North Beacon Hill,Seattle,WA,98108,47.546171490420500,-122.30809532624800,House,38.00,t,0
comfy room&convenient location（中英）,f,Holly Park,Seattle,WA,98118,47.53524505680030,-122.28486546940500,Townhouse,60.00,t,0
3 2 1 Contact House,f,South Beacon Hill,Seattle,WA,98118,47.532803137987000,-122.28915035933100,House,60.00,t,3
Prime Seattle Craftsman Home - 3Bed,f,South Beacon Hill,Seattle,WA,98118,47.52566156471520,-122.2811555045940,House,175.00,t,56
Sans souci in Seattle,f,Greenwood,Seattle,WA,98117,47.69861296484060,-122.36344237960200,House,280.00,t,0
"Vibrant, Friendly Neighborhood Home",f,Greenwood,Seattle,WA,98117,47.68931773951410,-122.36513551796600,House,80.00,t,74
Greenwood Garden Studio,f,Greenwood,Seattle,WA,98117,47.698209872188600,-122.3617194258780,House,85.00,t,5
Beautiful Updated Greenwood home,f,,Seattle,WA,98103,47.69444400372630,-122.34659410569200,House,215.00,t,1
"Nice,clean apt,vibrant area",f,Greenwood,Seattle,WA,98103,47.69022200428570,-122.35437120501200,Apartment,120.00,t,0
The Whitman Ave Suites,f,Bitter Lake,Seattle,WA,98133,47.70484849004310,-122.3448873954640,Apartment,105.00,t,55
PHINNEY BUNGALOW,f,Greenwood,Seattle,WA,98103,47.686443235757000,-122.35004730895600,Bungalow,90.00,t,4
Clean and comfy 2+1/2 bedroom Home,f,Greenwood,Seattle,WA,98117,47.68438656609460,-122.36086979269500,Apartment,125.00,t,15
Urban homestead close to everything,t,Greenwood,Seattle,WA,98117,47.694574307574300,-122.35795935350900,House,105.00,t,14
"Urban by Day, Tranquil by Night",t,Greenwood,Seattle,WA,98177,47.702909801142500,-122.36187337173000,House,98.00,t,0
Travel Nurses Welcome! Special Rate,f,Greenwood,Seattle,WA,98133,47.703412385409,-122.35480304957800,House,44.00,t,0
Private Bedroom in a Modern House,f,,Seattle,WA,98103,47.70048323654480,-122.34656223149300,House,34.00,t,6
Large Cozy Room Greenwood/Phinney,f,Greenwood,Seattle,WA,98117,47.69109348570530,-122.36464002063300,House,50.00,t,0
Quiet apt near Greenlake & downtown,t,Greenwood,Seattle,WA,98103,47.68926863780900,-122.35414043748600,House,85.00,t,16
Shack in the back in Seattle,f,Greenwood,Seattle,WA,98103,47.69941938100470,-122.34831249572200,Chalet,62.00,t,1
Cozy twin bed in a private room.,f,,Seattle,WA,98103,47.69430764252810,-122.34673550930900,House,49.00,t,39
Room on main floor with bathroom,f,Greenwood,Seattle,WA,98117,47.69461915650810,-122.36063570209900,House,50.00,t,21
Private suite in Greenwood house,f,Greenwood,Seattle,WA,98103,47.69684140871070,-122.34908047456800,House,50.00,t,3
Greenwood cabin private oasis,f,Greenwood,Seattle,WA,98103,47.69835880468840,-122.34948846083800,House,70.00,t,0
Private room in Seattle House,f,Greenwood,Seattle,WA,98117,47.694904001576500,-122.36106279761500,House,40.00,t,1
The Greenwood Perch,f,Greenwood,Seattle,WA,98103,47.69239391344840,-122.35325289784800,Apartment,40.00,t,1
Restful stop in Seattle!,f,Greenwood,Seattle,WA,98133,47.703918837951500,-122.3544290990170,House,38.00,t,0
bright quiet room close to downtown,f,,Seattle,WA,98133,47.7018666105898,-122.34523645967000,House,26.00,t,0
Tent Crash Pad,f,Greenwood,Seattle,WA,98117,47.693145745394500,-122.3622588292880,Tent,25.00,t,4
Sunny Private Room by Carkeek Park,f,Greenwood,Seattle,WA,98177,47.70329901188530,-122.36073241526400,House,49.00,t,3
North Seattle Home,f,Greenwood,Seattle,WA,98133,47.704281863582500,-122.34621809778700,House,129.00,t,12
Sunny Greenlake home with a view,f,Greenwood,Seattle,WA,98103,47.686383968731800,-122.34510622901300,House,175.00,t,5
Urban homestead room for 1 or 2,t,Greenwood,Seattle,WA,98117,47.694001986983300,-122.35995318770100,House,42.00,t,16
Modern Townhome w/ Gourmet Kitchen,f,Greenwood,Seattle,WA,98103,47.69510632603680,-122.34961633790300,House,126.00,t,0
Delightful Updated Craftsman,f,,Seattle,WA,98103,47.68396502676620,-122.35792529073200,House,299.00,t,5
Home within a Home,f,Greenwood,Seattle,WA,98103,47.69874400289460,-122.34834691812300,House,99.00,t,3
Fun Loft Style Home,f,Greenwood,Seattle,WA,98117,47.691250462217,-122.36117756769100,House,175.00,t,4
4th Floor apartment in N. Seattle,f,Greenwood,Seattle,WA,98103,47.69107690511810,-122.35644791543100,Apartment,125.00,t,0
"Modern, Green, Sleek and Thoughtful",t,Greenwood,Seattle,WA,98117,47.69251163716580,-122.36466227640000,Apartment,120.00,t,21
Cozy room convenient location,f,Greenwood,Seattle,WA,98103,47.688059798101100,-122.35201683202900,House,42.00,t,0
Private Suite w/ Separate Entrance,t,Greenwood,Seattle,WA,98103,47.685547949330700,-122.35142135168100,House,56.00,t,31
The Tango Room w/ Private Bathroom,f,Greenwood,Seattle,WA,98117,47.68942014378440,-122.36274234830600,House,55.00,t,2
1br 1ba in a new Townhome room #2,f,Greenwood,Seattle,WA,98103,47.698495644515100,-122.3460439290000,House,55.00,t,0
Renovated Charmer Near Green Lake,f,Greenwood,Seattle,WA,98103,47.68660330330380,-122.34854132211700,House,235.00,t,7
Greenwood Getaway,f,Greenwood,Seattle,WA,98103,47.694745754089700,-122.3580742473430,Apartment,100.00,t,2
"A Touch of Europe, I Welcome You!!",t,Greenwood,Seattle,WA,98103,47.69722466884670,-122.34876156918600,House,60.00,t,29
Seattle Pet/Family Friendly Living,f,Greenwood,Seattle,WA,98133,47.70478892877900,-122.34640195030200,Apartment,67.00,t,21
Spacious private bedroom and bath,f,Greenwood,Seattle,WA,98117,47.69393723463820,-122.36307052982300,House,95.00,t,26
Greenwood Condo,f,Greenwood,Seattle,WA,98133,47.70176565247280,-122.35443535095200,Condominium,115.00,t,3
Room in Cute Craftsman Style House,f,Greenwood,Seattle,WA,98103,47.68635058076890,-122.35315606329600,House,50.00,t,58
"Bright, quiet house w/ city access",f,Greenwood,Seattle,WA,98103,47.6986213639699,-122.34633612556900,House,199.00,t,7
Greenlake Sky Loft,f,Greenwood,Seattle,WA,98103,47.68796586734100,-122.35005573597400,Apartment,86.00,t,36
Walkable 2 bedroom in Greenwood,f,,Seattle,WA,98103,47.699809287151700,-122.35551847109300,House,175.00,t,57
Queen size bed in a private room,f,Greenwood,Seattle,WA,98103,47.695746427644600,-122.3459451589090,House,55.00,t,48
Private N Seattle Garden Getaway,f,Greenwood,Seattle,WA,98133,47.696674234682000,-122.35851227157900,House,68.00,t,49
Spacious Apartment in Phinney Ridge,f,Greenwood,Phinney Ridge Seattle,WA,98103,47.68471103285550,-122.3544242919030,Apartment,60.00,t,11
Green Lake/Phinney/Greenwood Nugget,t,Greenwood,Seattle,WA,98103,47.684003937540300,-122.35388678920900,Apartment,90.00,t,22
"Hip, Walkable Townhome in Seattle",t,Greenwood,Seattle,WA,98117,47.691372600278400,-122.36404939345900,Townhouse,139.00,t,43
Private room in convenient condo,f,Greenwood,Seattle,WA,98133,47.70394624565900,-122.35757059498600,Condominium,51.00,t,2
"Greenwood Go-To, private Bed/Bath",f,Greenwood,Seattle,WA,98117,47.69177391621420,-122.36567515823800,Apartment,50.00,t,14
Classic Greenwood Craftsman,f,Greenwood,Seattle,WA,98117,47.69493160352200,-122.36001135703500,House,115.00,t,0
Greenwood Mother in Law Apartment,f,Greenwood,Seattle,WA,98103,47.69796136916230,-122.34900702762200,House,80.00,t,2
Comfy Private Mother-in-Law,f,Greenwood,Seattle,WA,98133,47.700481024903800,-122.35089205892900,Apartment,95.00,t,6
"Charming, Bright, Great Location.",f,Greenwood,Seattle,WA,98117,47.68449844267360,-122.36538315116300,House,85.00,t,52
Nice roomy 1 bedroom,f,,Seattle,WA,98103,47.69285099348400,-122.35667054339100,Apartment,75.00,t,0
Artists' off Greenwood 2 Bedroom,f,Greenwood,Seattle,WA,98103,47.6907273724811,-122.35330530832100,Apartment,100.00,t,2
Urban homestead room for 2 (queen),t,Greenwood,Seattle,WA,98117,47.69274786106740,-122.35975682326500,House,63.00,t,16
Cute Midcentury Greenwood Abode,f,Greenwood,Seattle,WA,98103,47.6969263355011,-122.35246458429200,House,100.00,t,1
Modern Greenwood 2 Bedroom,f,Greenwood,Seattle,WA,98103,47.69576778601290,-122.34820726885900,Apartment,135.00,t,20
Greenwood Bungalow,f,Greenwood,Seattle,WA,98117,47.68695586274640,-122.36449697359500,House,125.00,t,0
Charming Greenwood Cottage,f,Greenwood,Seattle,WA,98103,47.69057411286980,-122.3516280920530,House,69.00,t,1
Sans souci in Seattle,f,Greenwood,Seattle,WA,98117,47.696561638918800,-122.36275074363200,House,280.00,t,2
Spa retreat in vibrant Greenwood,t,,Seattle,WA,98117,47.69585301696280,-122.35935622173200,House,160.00,t,58
Beautiful Affordable Holiday Rental,f,,Seattle,WA,98103,47.69250364121560,-122.35216340579800,House,75.00,t,2
3 Bdrm Pet Friendly Greenwood Home,f,Greenwood,Seattle,WA,98103,47.69430816295930,-122.35068463853400,House,98.00,t,13
Cozy & Colorful 2BR in artsy area,f,Greenwood,Seattle,WA,98103,47.69584005470620,-122.35667175232000,House,109.00,t,19
Cozy Home in Popular Neighborhood,f,,Seattle,WA,98103,47.69614721129000,-122.34864331193000,House,125.00,t,0
Beautiful Seattle Home ,f,Greenwood,Seattle,WA,98103,47.6841228388045,-122.34702569277400,House,225.00,t,2
Greenwood Studio,t,,Seattle,WA,98103,47.69921614825640,-122.3507160207940,Other,69.00,t,209
Spacious Private Daylight Basement,f,Greenwood,Seattle,WA,98103,47.687527037698100,-122.35608108151400,House,75.00,t,76
4BD/3BA Cottage House in Greenwood,f,Greenwood,Seattle,WA,98103,47.68765780516940,-122.35752464274300,House,300.00,t,4
Greenwood Getaway Room Private Bath,f,Greenwood,Seattle,WA,98117,47.68458930528260,-122.359320645064,House,60.00,t,0
Comfortable Reststop in Greenwood!,f,Greenwood,Seattle,WA,98133,47.70095010578350,-122.35322061421800,House,43.00,t,0
Private Guest Studio- Phinney Ridge,t,Greenwood,Seattle,WA,98117,47.68348314871840,-122.35705388667800,House,85.00,t,113
Studio Suite in North Seattle,f,Greenwood,Seattle,WA,98177,47.7030467070973,-122.36276407284000,Townhouse,110.00,t,0
"Comfortable, quiet room in house ",f,Greenwood,Seattle,WA,98103,47.68796588173740,-122.35290494977800,House,52.00,t,44
Bedroom with Private Spa-like Bath,t,Greenwood,Seattle,WA,98117,47.68464908459310,-122.35771619873300,House,100.00,t,23
Cozy modern home in Greenlake,f,,Seattle,WA,98103,47.68940563322310,-122.34812647233200,House,50.00,t,52
Room in Vintage Whittier Heights,f,Ballard,Seattle,WA,98117,47.68526916103520,-122.365503503403,House,35.00,t,15
Cozy Room w Private Bathroom+Garden,f,Greenwood,Seattle,WA,98103,47.69971929123490,-122.3450886454840,House,66.00,t,24
The Bridge to Phinney Ridge,f,Greenwood,Seattle,WA,98103,47.687782142393600,-122.34859609133200,House,99.00,t,11
TOP Neighborhood~Super clean COZY,f,Greenwood,Seattle,WA,98117,47.68554620931000,-122.3632620161460,House,89.00,t,56
Greenwood 1926 Craftsman,f,Greenwood,Seattle,WA,98103,47.69985568970090,-122.34811668005400,House,150.00,t,0
Lovely apt in Seattle,f,Greenwood,Seattle,WA,98103,47.69386019568790,-122.35049368282600,Apartment,90.00,t,0
The Blossom Room with Queen Bed,t,Holly Park,Seattle,WA,98118,47.54175591322440,-122.28928912722900,House,45.00,t,39
